Bernard Deflesselles|$Il est élu député pour la première fois en 1999 , à le cours d' une élection partielle , dans la neuvième circonscription des Bouches-du-Rhône , longtemps détenue par le PCF .$
Bernard Deflesselles|$La précédente élection partielle , qui avait vu l' élection d' Alain Belviso ( PCF ) - lequel avait battu Bernard Deflesselles de 20 voix en 1998 - avait été annulée à la suite d' une fraude ayant profité à le candidat communiste .$
Bernard Deflesselles|$Il est réélu le 16 juin 2002 , pour la XIIe législature ( 2002-2007 ) .$
Bernard Deflesselles|$Il est nommé membre de la commission de la Défense nationale et des Forces armées .$
Bernard Deflesselles|$Il a été réélu le 10 juin 2007 , dès le premier tour , avec 51,83 % des voix et réélu en 2012 .$
Bernard Deflesselles|$En août 2012 , il annonce qu' il soutient Jean-François Copé lors de le congrès pour la présidence de l' UMP .$
Bernard Deflesselles|$Il soutient Jean-François Copé pour la primaire française de la droite et de le centre de 2016 .$
Bernard Deflesselles|$Le 4 mars 2017 , dans le cadre de l' affaire Fillon , il renonce à soutenir le candidat LR François Fillon à l' élection présidentielle .$
Bernard Deflesselles|$Il parraine Laurent Wauquiez pour le congrès des Républicains de 2017 , scrutin lors duquel est élu le président de le parti .$
Bernard Deflesselles|$Depuis le 23/03/1992 : Conseiller régional ( Conseil régional de Provence-Alpes-Côte d' Azur ) 18/06/1995 - 18/03/2001 : Conseiller municipal d' Aubagne ( Bouches-du-Rhône ) 29/03/1999 - 17/06/2017 : Député de la 9e circonscription des Bouches-du-Rhône ( Assemblée nationale )$
Denis Sommer|$Ancien ouvrier et syndicaliste à Peugeot , Denis Sommer , 59 ans , a été élu le 18 juin 2017 député REM de la 3e circonscription de le Doubs , après avoir quitté le PS dont il a porté les couleurs comme élu local pendant plus de 15 ans .$
Hubert Wulfranc|$Directeur de cabinet de 1981 à 1995 de Michel Grandpierre , il lui succède à la mairie de Saint-Étienne-du-Rouvray en 2002 .$
Hubert Wulfranc|$Dans l' intervalle 1995-2002 , il est professeur d' histoire-géographie et de français en lycée professionnel .$
Hubert Wulfranc|$Il devient conseiller général de la Seine-Maritime de 2004 à 2015 puis conseiller départemental jusqu'en 2017 en binôme avec Séverine Botte .$
Hubert Wulfranc|$Il exerce en outre la fonction de vice-président de la Métropole Rouen Normandie .$
Hubert Wulfranc|$Il s' est présenté une première fois en 2007 , puis en 2012 à les élections législatives sans succès , devancé par Pierre Bourguignon puis Luce Pane .$
Hubert Wulfranc|$Il fera face durant son mandat de maire à l' attentat de l' église de Saint-Étienne-du-Rouvray en juillet 2016 .$
Hubert Wulfranc|$Il se porte candidat à les élections législatives de 2017 avec le soutien de le PCF et de La France insoumise .$
Hubert Wulfranc|$Opposé , à le second tour , à le candidat La République en marche !$
Hubert Wulfranc|$( REM ) , Cyrille Grenot , il est élu député de la 3e circonscription de la Seine-Maritime avec plus de 61 % des suffrages exprimés , , .$
Hubert Wulfranc|$Il fait partie de la Commission de le développement durable et de l' aménagement de le territoire .$
Hubert Wulfranc|$Il démissionne le 6 juillet 2017 de son poste de maire à le profit de son 1er adjoint Joachim Moyse .$
Hubert Wulfranc|$Il conserve toutefois un siège en tant que conseiller municipal .$
Hubert Wulfranc|$Il quitte également son siège de conseiller départemental de le canton de Saint-Étienne-du-Rouvray à le profit de Stéphane Barré , maire d' Oissel .$
Pierre Henriet|$Pierre Henriet est originaire de Saint-Pierre-le-Vieux , commune dont son père , Christian Henriet , est le maire .$
Pierre Henriet|$Doctorant en philosophie des sciences à le sein de l' université de Nantes depuis 2015 , Pierre Henriet a également effectué des cours comme vacataire en épistémologie à le lycée polyvalent François-Rabelais de Fontenay-le-Comte .$
Pierre Henriet|$Il effectue cette thèse sur le concept de matériaux chez Réaumur .$
Pierre Henriet|$Alors étudiant , il annonce sa candidature isolée pour les élections municipales de 2014 à Saint-Pierre-le-Vieux .$
Pierre Henriet|$Figurant à le sein de la liste " Unis pour Saint-Pierre-le-Vieux " conduite par Christian Henriet , son père , il est élu à l' issue de le premier tour .$
Pierre Henriet|$Après le scrutin , il devient conseiller municipal chargé de l' action culturelle et de le tourisme .$
Pierre Henriet|$Après avoir œuvré dans la campagne d' Emmanuel Macron , La République en marche ( LREM ) l' investit dans la cinquième circonscription de la Vendée dans une première vague d' investitures , le 11 mai 2017 , à la suite de l' élection de celui-ci .$
Pierre Henriet|$à le premier tour des élections législatives , il arrive en tête en réunissant 39,13 % des suffrages exprimés .$
Pierre Henriet|$Il s' impose à le second tour face à Hugues Fourage ( Parti socialiste ) , député sortant , avec 53,36 % des voix .$
Pierre Henriet|$À l' Assemblée nationale , il est : - membre de la Commission des Affaires culturelles et de l' Éducation ; - membre de l' Office parlementaire d' évaluation des choix scientifiques et technologiques ; - Président de le Groupe d' études " République et Religions " ; - Président de le GEVI France - Corée de le Nord .$
Constance Le Grip|$Diplômée de l' Institut d' études politiques de Strasbourg et d' un DEA d' études politiques de l' Institut d' études politiques de Paris en 1984 , elle devient attachée parlementaire d' Alain Lamassoure à l' Assemblée nationale et à le Parlement européen .$
Constance Le Grip|$Elle continue à être son assistante parlementaire lorsqu'il devient ministre , d' abord à le ministère des Affaires européennes entre 1993 et 1995 , puis à le ministère de le budget entre 1995 et 1997 .$
Constance Le Grip|$Entre 2002 et 2010 , elle est conseillère parlementaire de Nicolas Sarkozy , à le ministère de l' Intérieur comme conseiller technique , à le ministère de l' économie et à la présidence de la République française .$
Constance Le Grip|$à le Parlement européen , elle est vice-présidente de la délégation française de le groupe PPE , membre titulaire de la commission des Affaires constitutionnelles ( AFCO ) , membre de la commission des Affaires juridiques ( JURI ) , membre de la commission des Droits de la Femme ( FEMM ) où elle est également coordinatrice pour le groupe PPE , membre de la délégation pour les relations avec la République populaire de Chine et membre de la délégation pour les relations avec le Canada .$
Constance Le Grip|$Elle fait partie de le Forum des Francophones , un groupe informel de députés européens francophones créé en octobre 2009 .$
Constance Le Grip|$Constance Le Grip est membre de FDS ( Femmes Débats et Société ) , association proche de Dialogue et Initiative .$
Constance Le Grip|$Elle est aussi membre fondatrice de le Groupe des Belles Feuilles , association liée à la Fondation Jean Monnet .$
Constance Le Grip|$Pendant la législature 2009-2014 , Constance Le Grip , en sa qualité de membre de la commission de le Marché intérieur et de la protection des consommateurs , a travaillé comme rapporteure de le Parlement européen sur la refonte de le Code des douanes de l' Union .$
Constance Le Grip|$Dans deux rapports , adoptés à une très large majorité de le Parlement , elle préconisera une simplification et une harmonisation des procédures douanières dans l' Union européenne , en vue de renforcer l' Union douanière et de faciliter les échanges transfrontaliers des entreprises européennes [ réf .$
Constance Le Grip|$nécessaire ] .$
Constance Le Grip|$Elle a eu également l' occasion de s' investir dans le dossier de la reconnaissance des qualifications professionnelles , à le moment où , sous l' impulsion de Michel Barnier , alors Commissaire européen chargé de le Marché intérieur et des services financiers , une révision de la directive de 2005 sur la reconnaissance des qualifications professionnelles est présentée .$
Constance Le Grip|$En qualité de shadow rapporteure de le groupe PPE , elle a travaillé en étroite concertation avec la rapporteure de le Parlement européen , la socialiste Bernadette Vergnaud , pour simplifier , fluidifier et moderniser les procédures de reconnaissance des qualifications professionnelles [ réf .$
Constance Le Grip|$nécessaire ] .$
Constance Le Grip|$Le projet de " Carte professionnelle européenne " est alors lancé , sur la base de le volontariat , pour les professions et les professionnels intéressés .$
Constance Le Grip|$à le sein de la commission des Affaires constitutionnelles de le Parlement , dont elle est devenue l' une des vice-présidentes , elle s' oppose à le rapport Fox-Haefner visant à demander pour le Parlement européen le droit de décider de son lieu de travail .$
Constance Le Grip|$à le nom de la défense de Strasbourg comme siège officiel et unique de le Parlement européen , Constance Le Grip s' attache à promouvoir le rôle historique et symbolique de la capitale alsacienne , symbole de la réconciliation des peuples européens [ réf .$
Constance Le Grip|$nécessaire ] .$
Constance Le Grip|$Une enquête parue dans Le Parisien le 21 septembre 2013 et portant sur le fichage des députés européens par Philip Morris indique que Constance Le Grip est considérée par le fabricant de cigarettes comme " très favorable " à l' industrie de le tabac , .$
Constance Le Grip|$Le 12 décembre 2014 , Nicolas Sarkozy , élu président de l' UMP , la nomme secrétaire nationale de l' UMP à les relations avec les partis étrangers , en tandem avec Jean-Didier Berthault .$
Constance Le Grip|$Elle soutient Nicolas Sarkozy pour la primaire française de la droite et de le centre de 2016 .$
Constance Le Grip|$Le 14 avril 2016 , Constante Le Grip se fait la porte parole à le Parlement européen d' une directive dite de le " secret des affaires " qui est définie comme étant destinée à protéger les entreprises — selon elle , notamment les PME — mais qui a suscité un tollé d' opposition de le fait qu' elle servirait surtout les multinationales pour refuser de se prêter à le jeu démocratique de la liberté de presse .$
Constance Le Grip|$Selon les opposants , c' est ainsi le journalisme d' investigation qui est ainsi et essentiellement visé .$
Constance Le Grip|$Elle est investie par LR comme candidate sur la circonscription Neuilly-Puteaux dans les Hauts-de-Seine .$
Constance Le Grip|$Elle arrive en seconde position de le premier tour avec 21,16 % , loin derrière les 41,92 % de le candidat de La République en marche !$
Constance Le Grip|$.$
Constance Le Grip|$Elle est cependant élue à le second tour avec 53,81 % des suffrages exprimés .$
